# x_m T_numerica_C T_exata_C erro_C
0.000000000000e+00 3.775339141574e+02 3.774782526350e+02 5.566152235252e-02
1.000000000000e-04 3.774976235381e+02 3.774419879068e+02 5.563563126975e-02
2.000000000000e-04 3.773887855963e+02 3.773332276176e+02 5.555797865156e-02
3.000000000000e-04 3.772075020486e+02 3.771520734222e+02 5.542862640192e-02
4.000000000000e-04 3.769539423187e+02 3.768986946410e+02 5.524767773773e-02
5.000000000000e-04 3.766283433816e+02 3.765733281043e+02 5.501527725323e-02
6.000000000000e-04 3.762310095448e+02 3.761762779338e+02 5.473161100912e-02
7.000000000000e-04 3.757623121689e+02 3.757079152622e+02 5.439690664184e-02
8.000000000000e-04 3.752226893246e+02 3.751686778911e+02 5.401143349400e-02
9.000000000000e-04 3.746126453900e+02 3.745590698873e+02 5.357550275988e-02
1.000000000000e-03 3.739327505851e+02 3.738796611175e+02 5.308946764387e-02
1.100000000000e-03 3.731836404464e+02 3.731310867229e+02 5.255372352860e-02
1.200000000000e-03 3.723660152406e+02 3.723140465324e+02 5.196870814643e-02
1.300000000000e-03 3.714806393187e+02 3.714293044169e+02 5.133490175069e-02
1.400000000000e-03 3.705283404103e+02 3.704776875830e+02 5.065282728208e-02
1.500000000000e-03 3.695100088595e+02 3.694600858090e+02 4.992305052406e-02
1.600000000000e-03 3.684265968020e+02 3.683774506217e+02 4.914618024105e-02
1.700000000000e-03 3.672791172848e+02 3.672307944165e+02 4.832286829554e-02
1.800000000000e-03 3.660686433299e+02 3.660211895202e+02 4.745380973549e-02
1.900000000000e-03 3.647963069405e+02 3.647497671977e+02 4.653974284872e-02
2.000000000000e-03 3.634632980531e+02 3.634177166039e+02 4.558144917650e-02
2.100000000000e-03 3.620708634348e+02 3.620262836814e+02 4.457975348038e-02
2.200000000000e-03 3.606203055276e+02 3.605767700040e+02 4.353552365745e-02
2.300000000000e-03 3.591129812397e+02 3.590705315691e+02 4.244967059702e-02
2.400000000000e-03 3.575503006856e+02 3.575089775376e+02 4.132314797386e-02
2.500000000000e-03 3.559337258766e+02 3.558935689247e+02 4.015695197222e-02
2.600000000000e-03 3.542647693612e+02 3.542258172403e+02 3.895212093613e-02
2.700000000000e-03 3.525449928180e+02 3.525072830830e+02 3.770973494085e-02
2.800000000000e-03 3.507760056018e+02 3.507395746865e+02 3.643091528136e-02
2.900000000000e-03 3.489594632447e+02 3.489243464208e+02 3.511682387398e-02
3.000000000000e-03 3.470970659121e+02 3.470632972496e+02 3.376866256815e-02
3.100000000000e-03 3.451905568175e+02 3.451581691451e+02 3.238767236485e-02
3.200000000000e-03 3.432417205942e+02 3.432107454616e+02 3.097513254016e-02
3.300000000000e-03 3.412523816290e+02 3.412228492693e+02 2.953235967203e-02
3.400000000000e-03 3.392244023567e+02 3.391963416501e+02 2.806070656840e-02
3.500000000000e-03 3.371596815178e+02 3.371331199567e+02 2.656156109759e-02
3.600000000000e-03 3.350601523819e+02 3.350351160369e+02 2.503634492030e-02
3.700000000000e-03 3.329277809367e+02 3.329042944245e+02 2.348651212355e-02
3.800000000000e-03 3.307645640463e+02 3.307426504986e+02 2.191354775960e-02
3.900000000000e-03 3.285725275791e+02 3.285522086128e+02 2.031896629035e-02
4.000000000000e-03 3.263537245070e+02 3.263350201970e+02 1.870430994046e-02
4.100000000000e-03 3.241102329791e+02 3.240931618321e+02 1.707114696336e-02
4.200000000000e-03 3.218441543703e+02 3.218287333005e+02 1.542106982265e-02
4.300000000000e-03 3.195576113077e+02 3.195438556144e+02 1.375569329463e-02
4.400000000000e-03 3.172527456752e+02 3.172406690227e+02 1.207665249655e-02
4.500000000000e-03 3.149317166007e+02 3.149213309999e+02 1.038560084629e-02
4.600000000000e-03 3.125966984254e+02 3.125880142174e+02 8.684207959107e-03
4.700000000000e-03 3.102498786584e+02 3.102429045009e+02 6.974157489140e-03
4.800000000000e-03 3.078934559185e+02 3.078881987736e+02 5.257144920904e-03
4.900000000000e-03 3.055296378653e+02 3.055261029899e+02 3.534875319588e-03
5.000000000000e-03 3.031606391206e+02 3.031588300596e+02 1.809061047197e-03
