# x_m T_t_0_s T_t_1_s T_t_2_s T_t_5_s T_t_10_s T_t_12_s T_t_20_s
0.000000000000e+00 3.000000000000e+02 3.951954413987e+02 4.884930119091e+02 7.251602628797e+02 9.769653567940e+02 1.042650348258e+03 1.192864702149e+03
1.000000000000e-04 3.000000000000e+02 3.951943361621e+02 4.884756180074e+02 7.250478404319e+02 9.767357328831e+02 1.042389976316e+03 1.192534006472e+03
2.000000000000e-04 3.000000000000e+02 3.951909758466e+02 4.884232362670e+02 7.247103330159e+02 9.760467250604e+02 1.041608753164e+03 1.191541877960e+03
3.000000000000e-04 3.000000000000e+02 3.951852254255e+02 4.883352657234e+02 7.241470205905e+02 9.748979251837e+02 1.040306356929e+03 1.189888192203e+03
4.000000000000e-04 3.000000000000e+02 3.951768558122e+02 4.882107019118e+02 7.233567036740e+02 9.732886534397e+02 1.038482251489e+03 1.187572741979e+03
5.000000000000e-04 3.000000000000e+02 3.951655377563e+02 4.880481326079e+02 7.223377042260e+02 9.712179589793e+02 1.036135686975e+03 1.184595237454e+03
6.000000000000e-04 3.000000000000e+02 3.951508332155e+02 4.878457319184e+02 7.210878668831e+02 9.686846208067e+02 1.033265700475e+03 1.180955306444e+03
7.000000000000e-04 3.000000000000e+02 3.951321841275e+02 4.876012527725e+02 7.196045605514e+02 9.656871489199e+02 1.029871116934e+03 1.176652494771e+03
8.000000000000e-04 3.000000000000e+02 3.951088984831e+02 4.873120178840e+02 7.178846803559e+02 9.622237857036e+02 1.025950550255e+03 1.171686266686e+03
9.000000000000e-04 3.000000000000e+02 3.950801335926e+02 4.869749092652e+02 7.159246499517e+02 9.582925075724e+02 1.021502404593e+03 1.166056005369e+03
1.000000000000e-03 3.000000000000e+02 3.950448764231e+02 4.865863563885e+02 7.137204241978e+02 9.538910268614e+02 1.016524875854e+03 1.159761013508e+03
1.100000000000e-03 3.000000000000e+02 3.950019208804e+02 4.861423231091e+02 7.112674921978e+02 9.490167939650e+02 1.011015953380e+03 1.152800513954e+03
1.200000000000e-03 3.000000000000e+02 3.949498419117e+02 4.856382934700e+02 7.085608807112e+02 9.436669997203e+02 1.004973421832e+03 1.145173650443e+03
1.300000000000e-03 3.000000000000e+02 3.948869663072e+02 4.850692565300e+02 7.055951579372e+02 9.378385780328e+02 9.983948632650e+02 1.136879488403e+03
1.400000000000e-03 3.000000000000e+02 3.948113400987e+02 4.844296903635e+02 7.023644376775e+02 9.315282087428e+02 9.912776593900e+02 1.127917015827e+03
1.500000000000e-03 3.000000000000e+02 3.947206924683e+02 4.837135453956e+02 6.988623838789e+02 9.247323207292e+02 9.836189940254e+02 1.118285144222e+03
1.600000000000e-03 3.000000000000e+02 3.946123961157e+02 4.829142272457e+02 6.950822155630e+02 9.174470952489e+02 9.754158557334e+02 1.107982709623e+03
1.700000000000e-03 3.000000000000e+02 3.944834240665e+02 4.820245792637e+02 6.910167121434e+02 9.096684695066e+02 9.666650406390e+02 1.097008473692e+03
1.800000000000e-03 3.000000000000e+02 3.943303029529e+02 4.810368649536e+02 6.866582191366e+02 9.013921404541e+02 9.573631554292e+02 1.085361124868e+03
1.900000000000e-03 3.000000000000e+02 3.941490628529e+02 4.799427504841e+02 6.819986542691e+02 8.926135688141e+02 9.475066205296e+02 1.073039279602e+03
2.000000000000e-03 3.000000000000e+02 3.939351838379e+02 4.787332874967e+02 6.770295139839e+02 8.833279833252e+02 9.370916734554e+02 1.060041483648e+03
2.100000000000e-03 3.000000000000e+02 3.936835394493e+02 4.773988964243e+02 6.717418803495e+02 8.735303852039e+02 9.261143723339e+02 1.046366213427e+03
2.200000000000e-03 3.000000000000e+02 3.933883374058e+02 4.759293505382e+02 6.661264283738e+02 8.632155528205e+02 9.145705995941e+02 1.032011877454e+03
2.300000000000e-03 3.000000000000e+02 3.930430579238e+02 4.743137609439e+02 6.601734337242e+02 8.523780465829e+02 9.024560658222e+02 1.016976817824e+03
2.400000000000e-03 3.000000000000e+02 3.926403901254e+02 4.725405627463e+02 6.538727808562e+02 8.410122140248e+02 8.897663137768e+02 1.001259311772e+03
2.500000000000e-03 3.000000000000e+02 3.921721670978e+02 4.705975026027e+02 6.472139715504e+02 8.291121950944e+02 8.764967225622e+02 9.848575732765e+02
2.600000000000e-03 3.000000000000e+02 3.916293002614e+02 4.684716278788e+02 6.401861338578e+02 8.166719276360e+02 8.626425119539e+02 9.677697547403e+02
2.700000000000e-03 3.000000000000e+02 3.910017137917e+02 4.661492776190e+02 6.327780314526e+02 8.036851530627e+02 8.481987468742e+02 9.499939487152e+02
2.800000000000e-03 3.000000000000e+02 3.902782799289e+02 4.636160755308e+02 6.249780733908e+02 7.901454222125e+02 8.331603420130e+02 9.315281896901e+02
2.900000000000e-03 3.000000000000e+02 3.894467560846e+02 4.608569251764e+02 6.167743242725e+02 7.760461013833e+02 8.175220665880e+02 9.123704559306e+02
3.000000000000e-03 3.000000000000e+02 3.884937247242e+02 4.578560075522e+02 6.081545148019e+02 7.613803785412e+02 8.012785492429e+02 8.925186713726e+02
3.100000000000e-03 3.000000000000e+02 3.874045370605e+02 4.545967812203e+02 5.991060527437e+02 7.461412696963e+02 7.844242830755e+02 8.719707075656e+02
3.200000000000e-03 3.000000000000e+02 3.861632616304e+02 4.510619851424e+02 5.896160342674e+02 7.303216254395e+02 7.669536307945e+02 8.507243856657e+02
3.300000000000e-03 3.000000000000e+02 3.847526388495e+02 4.472336443465e+02 5.796712556733e+02 7.139141376349e+02 7.488608299970e+02 8.287774784760e+02
3.400000000000e-03 3.000000000000e+02 3.831540426395e+02 4.430930785383e+02 5.692582254938e+02 6.969113462614e+02 7.301399985640e+02 8.061277125318e+02
3.500000000000e-03 3.000000000000e+02 3.813474501991e+02 4.386209137446e+02 5.583631769578e+02 6.793056463968e+02 7.107851401677e+02 7.827727702289e+02
3.600000000000e-03 3.000000000000e+02 3.793114209435e+02 4.337970970553e+02 5.469720808115e+02 6.610892953378e+02 6.907901498862e+02 7.587102919944e+02
3.700000000000e-03 3.000000000000e+02 3.770230855627e+02 4.286009145039e+02 5.350706584813e+02 6.422544198503e+02 6.701488199195e+02 7.339378784952e+02
3.800000000000e-03 3.000000000000e+02 3.744581460554e+02 4.230110121013e+02 5.226443955675e+02 6.227930235413e+02 6.488548454018e+02 7.084530928852e+02
3.900000000000e-03 3.000000000000e+02 3.715908874668e+02 4.170054200107e+02 5.096785556556e+02 6.026969943475e+02 6.269018303054e+02 6.822534630864e+02
4.000000000000e-03 3.000000000000e+02 3.683942019182e+02 4.105615798238e+02 4.961581944289e+02 5.819581121320e+02 6.042832934294e+02 6.553364841040e+02
4.100000000000e-03 3.000000000000e+02 3.648396253432e+02 4.036563748709e+02 4.820681740683e+02 5.605680563835e+02 5.809926744683e+02 6.276996203716e+02
4.200000000000e-03 3.000000000000e+02 3.608973871645e+02 3.962661634714e+02 4.673931779210e+02 5.385184140087e+02 5.570233401549e+02 5.993403081254e+02
4.300000000000e-03 3.000000000000e+02 3.565364729378e+02 3.883668150011e+02 4.521177254209e+02 5.158006872127e+02 5.323685904717e+02 5.702559578047e+02
4.400000000000e-03 3.000000000000e+02 3.517246997833e+02 3.799337486282e+02 4.362261872415e+02 4.924063014592e+02 5.070216649241e+02 5.404439564763e+02
4.500000000000e-03 3.000000000000e+02 3.464288042028e+02 3.709419745457e+02 4.197028006621e+02 4.683266135019e+02 4.809757488715e+02 5.099016702817e+02
4.600000000000e-03 3.000000000000e+02 3.406145416627e+02 3.613661375002e+02 4.025316851259e+02 4.435529194819e+02 4.542239799076e+02 4.786264469023e+02
4.700000000000e-03 3.000000000000e+02 3.342467971103e+02 3.511805623977e+02 3.846968579699e+02 4.180764630810e+02 4.267594542871e+02 4.466156180436e+02
4.800000000000e-03 3.000000000000e+02 3.272897053833e+02 3.403593017455e+02 3.661822503028e+02 3.918884437251e+02 3.985752333898e+02 4.138665019332e+02
