# iter erro h x y dfdx dfdy f
   0  2.000000000000e+01  1.923076923077e-01 -2.000000000000e+00  3.000000000000e+00  1.200000000000e+01 -1.600000000000e+01 -3.800000000000e+01
   1  1.538461538462e+00  1.250000000000e+00  3.076923076923e-01 -7.692307692308e-02  1.230769230769e+00  9.230769230769e-01  4.615384615385e-01
   2  7.692307692308e-01  1.923076923077e-01  1.846153846154e+00  1.076923076923e+00  4.615384615385e-01 -6.153846153846e-01  1.940828402367e+00
   3  5.917159763314e-02  1.250000000000e+00  1.934911242604e+00  9.585798816568e-01  4.733727810651e-02  3.550295857988e-02  1.997724169322e+00
   4  2.958579881657e-02  1.923076923077e-01  1.994082840237e+00  1.002958579882e+00  1.775147928994e-02 -2.366863905326e-02  1.999912468051e+00
   5  2.275830678198e-03  1.250000000000e+00  1.997496586254e+00  9.984069185253e-01  1.820664542558e-03  1.365498406919e-03  1.999996633387e+00
   6  1.137915339098e-03  1.923076923077e-01  1.999772416932e+00  1.000113791534e+00  6.827492034591e-04 -9.103322712787e-04  1.999999870515e+00
   7  8.753194916160e-05  1.250000000001e+00  1.999903714856e+00  9.999387276356e-01  7.002555932933e-05  5.251916949689e-05  1.999999995020e+00
   8  4.376597458036e-05  1.923076923075e-01  1.999991246805e+00  1.000004376597e+00  2.625958474800e-05 -3.501277966445e-05  1.999999999808e+00
   9  3.366613429012e-06  1.250000000066e+00  1.999996296725e+00  9.999976433706e-01  2.693290743316e-06  2.019968057265e-06  1.999999999993e+00
  10  1.683306713129e-06  1.923076922999e-01  1.999999663339e+00  1.000000168331e+00  1.009984027522e-06 -1.346645370770e-06  2.000000000000e+00
  11  1.294851315059e-07  1.250000000000e+00  1.999999857566e+00  9.999999093604e-01  1.035881052047e-07  7.769107890354e-08  2.000000000000e+00
  12  6.474256615263e-08  1.923076925512e-01  1.999999987051e+00  1.000000006474e+00  3.884554011790e-08 -5.179405260236e-08  2.000000000000e+00
  13  4.980197498838e-09  0.000000000000e+00  1.999999994522e+00  9.999999965139e-01  3.984157892489e-09  2.988118641412e-09  2.000000000000e+00
