# eta f fp fpp
0.0000000000 0.000000000000e+00 0.000000000000e+00 3.320573372049e-01
0.0100000000 1.660286686024e-05 3.320573349077e-03 3.320573280164e-01
0.0200000000 6.641146606270e-05 6.641146376557e-03 3.320572636968e-01
0.0300000000 1.494257907160e-04 9.961718255474e-03 3.320570891153e-01
0.0400000000 2.656458229025e-04 1.328228760755e-02 3.320567491410e-01
0.0500000000 4.150715281655e-04 1.660285250322e-02 3.320561886438e-01
0.0600000000 5.977028499957e-04 1.992341046159e-02 3.320553524940e-01
0.0700000000 8.135397043188e-04 2.324395845050e-02 3.320541855637e-01
0.0800000000 1.062581973982e-03 2.656449288650e-02 3.320526327263e-01
0.0900000000 1.344829503243e-03 2.988500963492e-02 3.320506388581e-01
0.1000000000 1.660282092256e-03 3.320550400983e-02 3.320481488384e-01
0.1100000000 2.008939491558e-03 3.652597077413e-02 3.320451075508e-01
0.1200000000 2.390801396562e-03 3.984640413958e-02 3.320414598836e-01
0.1300000000 2.805867442042e-03 4.316679776685e-02 3.320371507316e-01
0.1400000000 3.254137196623e-03 4.648714476560e-02 3.320321249966e-01
0.1500000000 3.735610157274e-03 4.980743769454e-02 3.320263275891e-01
0.1600000000 4.250285743794e-03 5.312766856153e-02 3.320197034293e-01
0.1700000000 4.798163293308e-03 5.644782882372e-02 3.320121974489e-01
0.1800000000 5.379242054760e-03 5.976790938759e-02 3.320037545924e-01
0.1900000000 5.993521183405e-03 6.308790060917e-02 3.319943198189e-01
0.2000000000 6.640999735308e-03 6.640779229416e-02 3.319838381039e-01
0.2100000000 7.321676661838e-03 6.972757369809e-02 3.319722544408e-01
0.2200000000 8.035550804171e-03 7.304723352652e-02 3.319595138436e-01
0.2300000000 8.782620887789e-03 7.636675993529e-02 3.319455613480e-01
0.2400000000 9.562885516985e-03 7.968614053069e-02 3.319303420144e-01
0.2500000000 1.037634316937e-02 8.300536236974e-02 3.319138009297e-01
0.2600000000 1.122299219037e-02 8.632441196049e-02 3.318958832098e-01
0.2700000000 1.210283078777e-02 8.964327526230e-02 3.318765340020e-01
0.2800000000 1.301585702618e-02 9.296193768617e-02 3.318556984875e-01
0.2900000000 1.396206882159e-02 9.628038409509e-02 3.318333218844e-01
0.3000000000 1.494146393590e-02 9.959859880441e-02 3.318093494500e-01
0.3100000000 1.595403997140e-02 1.029165655823e-01 3.317837264840e-01
0.3200000000 1.699979436533e-02 1.062342676501e-01 3.317563983311e-01
0.3300000000 1.807872438443e-02 1.095516876829e-01 3.317273103846e-01
0.3400000000 1.919082711946e-02 1.128688078100e-01 3.316964080887e-01
0.3500000000 2.033609947971e-02 1.161856096152e-01 3.316636369428e-01
0.3600000000 2.151453818764e-02 1.195020741379e-01 3.316289425040e-01
0.3700000000 2.272613977333e-02 1.228181818730e-01 3.315922703908e-01
0.3800000000 2.397090056913e-02 1.261339127724e-01 3.315535662869e-01
0.3900000000 2.524881670417e-02 1.294492462446e-01 3.315127759443e-01
0.4000000000 2.655988409897e-02 1.327641611565e-01 3.314698451877e-01
0.4100000000 2.790409846000e-02 1.360786358333e-01 3.314247199176e-01
0.4200000000 2.928145527429e-02 1.393926480597e-01 3.313773461148e-01
0.4300000000 3.069194980400e-02 1.427061750807e-01 3.313276698442e-01
0.4400000000 3.213557708106e-02 1.460191936022e-01 3.312756372588e-01
0.4500000000 3.361233190176e-02 1.493316797923e-01 3.312211946041e-01
0.4600000000 3.512220882138e-02 1.526436092819e-01 3.311642882222e-01
0.4700000000 3.666520214886e-02 1.559549571658e-01 3.311048645563e-01
0.4800000000 3.824130594136e-02 1.592656980039e-01 3.310428701553e-01
0.4900000000 3.985051399902e-02 1.625758058220e-01 3.309782516780e-01
0.5000000000 4.149281985953e-02 1.658852541131e-01 3.309109558983e-01
0.5100000000 4.316821679288e-02 1.691940158385e-01 3.308409297094e-01
0.5200000000 4.487669779600e-02 1.725020634293e-01 3.307681201290e-01
0.5300000000 4.661825558750e-02 1.758093687869e-01 3.306924743041e-01
0.5400000000 4.839288260236e-02 1.791159032854e-01 3.306139395161e-01
0.5500000000 5.020057098665e-02 1.824216377721e-01 3.305324631859e-01
0.5600000000 5.204131259232e-02 1.857265425692e-01 3.304479928788e-01
0.5700000000 5.391509897188e-02 1.890305874754e-01 3.303604763103e-01
0.5800000000 5.582192137326e-02 1.923337417674e-01 3.302698613510e-01
0.5900000000 5.776177073452e-02 1.956359742012e-01 3.301760960324e-01
0.6000000000 5.973463767870e-02 1.989372530142e-01 3.300791285523e-01
0.6100000000 6.174051250861e-02 2.022375459263e-01 3.299789072800e-01
0.6200000000 6.377938520171e-02 2.055368201423e-01 3.298753807630e-01
0.6300000000 6.585124540492e-02 2.088350423531e-01 3.297684977316e-01
0.6400000000 6.795608242950e-02 2.121321787382e-01 3.296582071057e-01
0.6500000000 7.009388524598e-02 2.154281949669e-01 3.295444580001e-01
0.6600000000 7.226464247901e-02 2.187230562010e-01 3.294271997309e-01
0.6700000000 7.446834240235e-02 2.220167270961e-01 3.293063818216e-01
0.6800000000 7.670497293378e-02 2.253091718043e-01 3.291819540088e-01
0.6900000000 7.897452163012e-02 2.286003539764e-01 3.290538662489e-01
0.7000000000 8.127697568217e-02 2.318902367634e-01 3.289220687244e-01
0.7100000000 8.361232190977e-02 2.351787828197e-01 3.287865118501e-01
0.7200000000 8.598054675680e-02 2.384659543047e-01 3.286471462794e-01
0.7300000000 8.838163628632e-02 2.417517128859e-01 3.285039229113e-01
0.7400000000 9.081557617558e-02 2.450360197407e-01 3.283567928967e-01
0.7500000000 9.328235171116e-02 2.483188355596e-01 3.282057076449e-01
0.7600000000 9.578194778415e-02 2.516001205484e-01 3.280506188306e-01
0.7700000000 9.831434888525e-02 2.548798344308e-01 3.278914784008e-01
0.7800000000 1.008795391000e-01 2.581579364517e-01 3.277282385811e-01
0.7900000000 1.034775021041e-01 2.614343853795e-01 3.275608518831e-01
0.8000000000 1.061082211584e-01 2.647091395091e-01 3.273892711113e-01
0.8100000000 1.087716791045e-01 2.679821566651e-01 3.272134493700e-01
0.8200000000 1.114678583598e-01 2.712533942046e-01 3.270333400705e-01
0.8300000000 1.141967409130e-01 2.745228090203e-01 3.268488969379e-01
0.8400000000 1.169583083194e-01 2.777903575440e-01 3.266600740189e-01
0.8500000000 1.197525416963e-01 2.810559957493e-01 3.264668256886e-01
0.8600000000 1.225794217185e-01 2.843196791554e-01 3.262691066577e-01
0.8700000000 1.254389286138e-01 2.875813628302e-01 3.260668719803e-01
0.8800000000 1.283310421582e-01 2.908410013941e-01 3.258600770610e-01
0.8900000000 1.312557416720e-01 2.940985490231e-01 3.256486776621e-01
0.9000000000 1.342130060148e-01 2.973539594528e-01 3.254326299115e-01
0.9100000000 1.372028135815e-01 3.006071859818e-01 3.252118903101e-01
0.9200000000 1.402251422978e-01 3.038581814757e-01 3.249864157392e-01
0.9300000000 1.432799696158e-01 3.071068983708e-01 3.247561634681e-01
0.9400000000 1.463672725101e-01 3.103532886782e-01 3.245210911619e-01
0.9500000000 1.494870274729e-01 3.135973039875e-01 3.242811568891e-01
0.9600000000 1.526392105105e-01 3.168388954710e-01 3.240363191289e-01
0.9700000000 1.558237971389e-01 3.200780138880e-01 3.237865367797e-01
0.9800000000 1.590407623794e-01 3.233146095889e-01 3.235317691661e-01
0.9900000000 1.622900807549e-01 3.265486325196e-01 3.232719760470e-01
1.0000000000 1.655717262858e-01 3.297800322255e-01 3.230071176233e-01
1.0100000000 1.688856724859e-01 3.330087578564e-01 3.227371545457e-01
1.0200000000 1.722318923587e-01 3.362347581711e-01 3.224620479227e-01
1.0300000000 1.756103583930e-01 3.394579815416e-01 3.221817593281e-01
1.0400000000 1.790210425598e-01 3.426783759579e-01 3.218962508092e-01
1.0500000000 1.824639163078e-01 3.458958890330e-01 3.216054848944e-01
1.0600000000 1.859389505602e-01 3.491104680078e-01 3.213094246012e-01
1.0700000000 1.894461157107e-01 3.523220597554e-01 3.210080334440e-01
1.0800000000 1.929853816197e-01 3.555306107871e-01 3.207012754421e-01
1.0900000000 1.965567176113e-01 3.587360672565e-01 3.203891151273e-01
1.1000000000 2.001600924691e-01 3.619383749653e-01 3.200715175522e-01
1.1100000000 2.037954744331e-01 3.651374793685e-01 3.197484482977e-01
1.1200000000 2.074628311960e-01 3.683333255793e-01 3.194198734810e-01
1.1300000000 2.111621299000e-01 3.715258583750e-01 3.190857597634e-01
1.1400000000 2.148933371337e-01 3.747150222022e-01 3.187460743584e-01
1.1500000000 2.186564189280e-01 3.779007611824e-01 3.184007850391e-01
1.1600000000 2.224513407540e-01 3.810830191176e-01 3.180498601463e-01
1.1700000000 2.262780675187e-01 3.842617394963e-01 3.176932685964e-01
1.1800000000 2.301365635627e-01 3.874368654989e-01 3.173309798886e-01
1.1900000000 2.340267926571e-01 3.906083400038e-01 3.169629641135e-01
1.2000000000 2.379487179999e-01 3.937761055932e-01 3.165891919601e-01
1.2100000000 2.419023022137e-01 3.969401045593e-01 3.162096347236e-01
1.2200000000 2.458875073425e-01 4.001002789103e-01 3.158242643134e-01
1.2300000000 2.499042948490e-01 4.032565703766e-01 3.154330532605e-01
1.2400000000 2.539526256120e-01 4.064089204171e-01 3.150359747249e-01
1.2500000000 2.580324599234e-01 4.095572702254e-01 3.146330025035e-01
1.2600000000 2.621437574856e-01 4.127015607363e-01 3.142241110373e-01
1.2700000000 2.662864774095e-01 4.158417326322e-01 3.138092754189e-01
1.2800000000 2.704605782111e-01 4.189777263499e-01 3.133884713998e-01
1.2900000000 2.746660178100e-01 4.221094820868e-01 3.129616753982e-01
1.3000000000 2.789027535262e-01 4.252369398081e-01 3.125288645056e-01
1.3100000000 2.831707420786e-01 4.283600392531e-01 3.120900164946e-01
1.3200000000 2.874699395822e-01 4.314787199423e-01 3.116451098256e-01
1.3300000000 2.918003015461e-01 4.345929211845e-01 3.111941236541e-01
1.3400000000 2.961617828715e-01 4.377025820832e-01 3.107370378380e-01
1.3500000000 3.005543378497e-01 4.408076415442e-01 3.102738329440e-01
1.3600000000 3.049779201601e-01 4.439080382826e-01 3.098044902548e-01
1.3700000000 3.094324828682e-01 4.470037108299e-01 3.093289917760e-01
1.3800000000 3.139179784240e-01 4.500945975411e-01 3.088473202426e-01
1.3900000000 3.184343586603e-01 4.531806366026e-01 3.083594591257e-01
1.4000000000 3.229815747907e-01 4.562617660390e-01 3.078653926390e-01
1.4100000000 3.275595774086e-01 4.593379237206e-01 3.073651057454e-01
1.4200000000 3.321683164851e-01 4.624090473715e-01 3.068585841635e-01
1.4300000000 3.368077413680e-01 4.654750745764e-01 3.063458143735e-01
1.4400000000 3.414778007801e-01 4.685359427889e-01 3.058267836234e-01
1.4500000000 3.461784428183e-01 4.715915893389e-01 3.053014799356e-01
1.4600000000 3.509096149521e-01 4.746419514404e-01 3.047698921123e-01
1.4700000000 3.556712640227e-01 4.776869661992e-01 3.042320097417e-01
1.4800000000 3.604633362417e-01 4.807265706212e-01 3.036878232035e-01
1.4900000000 3.652857771905e-01 4.837607016199e-01 3.031373236749e-01
1.5000000000 3.701385318189e-01 4.867892960245e-01 3.025805031358e-01
1.5100000000 3.750215444449e-01 4.898122905884e-01 3.020173543743e-01
1.5200000000 3.799347587535e-01 4.928296219965e-01 3.014478709923e-01
1.5300000000 3.848781177965e-01 4.958412268741e-01 3.008720474101e-01
1.5400000000 3.898515639912e-01 4.988470417947e-01 3.002898788718e-01
1.5500000000 3.948550391210e-01 5.018470032884e-01 2.997013614503e-01
1.5600000000 3.998884843340e-01 5.048410478503e-01 2.991064920520e-01
1.5700000000 4.049518401432e-01 5.078291119485e-01 2.985052684210e-01
1.5800000000 4.100450464263e-01 5.108111320331e-01 2.978976891444e-01
1.5900000000 4.151680424253e-01 5.137870445439e-01 2.972837536562e-01
1.6000000000 4.203207667468e-01 5.167567859196e-01 2.966634622413e-01
1.6100000000 4.255031573615e-01 5.197202926060e-01 2.960368160401e-01
1.6200000000 4.307151516049e-01 5.226775010643e-01 2.954038170522e-01
1.6300000000 4.359566861770e-01 5.256283477805e-01 2.947644681400e-01
1.6400000000 4.412276971431e-01 5.285727692730e-01 2.941187730327e-01
1.6500000000 4.465281199337e-01 5.315107021023e-01 2.934667363293e-01
1.6600000000 4.518578893451e-01 5.344420828790e-01 2.928083635024e-01
1.6700000000 4.572169395400e-01 5.373668482730e-01 2.921436609009e-01
1.6800000000 4.626052040484e-01 5.402849350217e-01 2.914726357534e-01
1.6900000000 4.680226157678e-01 5.431962799398e-01 2.907952961705e-01
1.7000000000 4.734691069642e-01 5.461008199269e-01 2.901116511481e-01
1.7100000000 4.789446092732e-01 5.489984919774e-01 2.894217105692e-01
1.7200000000 4.844490537010e-01 5.518892331888e-01 2.887254852067e-01
1.7300000000 4.899823706249e-01 5.547729807710e-01 2.880229867254e-01
1.7400000000 4.955444897954e-01 5.576496720546e-01 2.873142276838e-01
1.7500000000 5.011353403366e-01 5.605192445008e-01 2.865992215359e-01
1.7600000000 5.067548507480e-01 5.633816357094e-01 2.858779826330e-01
1.7700000000 5.124029489059e-01 5.662367834283e-01 2.851505262249e-01
1.7800000000 5.180795620647e-01 5.690846255625e-01 2.844168684611e-01
1.7900000000 5.237846168588e-01 5.719251001830e-01 2.836770263920e-01
1.8000000000 5.295180393042e-01 5.747581455357e-01 2.829310179697e-01
1.8100000000 5.352797548001e-01 5.775837000506e-01 2.821788620483e-01
1.8200000000 5.410696881312e-01 5.804017023507e-01 2.814205783850e-01
1.8300000000 5.468877634692e-01 5.832120912612e-01 2.806561876397e-01
1.8400000000 5.527339043752e-01 5.860148058183e-01 2.798857113756e-01
1.8500000000 5.586080338019e-01 5.888097852783e-01 2.791091720586e-01
1.8600000000 5.645100740955e-01 5.915969691270e-01 2.783265930573e-01
1.8700000000 5.704399469982e-01 5.943762970880e-01 2.775379986424e-01
1.8800000000 5.763975736509e-01 5.971477091322e-01 2.767434139858e-01
1.8900000000 5.823828745952e-01 5.999111454870e-01 2.759428651597e-01
1.9000000000 5.883957697766e-01 6.026665466446e-01 2.751363791357e-01
1.9100000000 5.944361785467e-01 6.054138533717e-01 2.743239837831e-01
1.9200000000 6.005040196662e-01 6.081530067182e-01 2.735057078675e-01
1.9300000000 6.065992113076e-01 6.108839480259e-01 2.726815810490e-01
1.9400000000 6.127216710587e-01 6.136066189379e-01 2.718516338802e-01
1.9500000000 6.188713159249e-01 6.163209614070e-01 2.710158978042e-01
1.9600000000 6.250480623330e-01 6.190269177052e-01 2.701744051518e-01
1.9700000000 6.312518261338e-01 6.217244304320e-01 2.693271891393e-01
1.9800000000 6.374825226062e-01 6.244134425236e-01 2.684742838652e-01
1.9900000000 6.437400664598e-01 6.270938972616e-01 2.676157243076e-01
2.0000000000 6.500243718390e-01 6.297657382815e-01 2.667515463208e-01
2.0100000000 6.563353523264e-01 6.324289095821e-01 2.658817866317e-01
2.0200000000 6.626729209462e-01 6.350833555336e-01 2.650064828362e-01
2.0300000000 6.690369901684e-01 6.377290208866e-01 2.641256733953e-01
2.0400000000 6.754274719124e-01 6.403658507803e-01 2.632393976311e-01
2.0500000000 6.818442775509e-01 6.429937907519e-01 2.623476957221e-01
2.0600000000 6.882873179142e-01 6.456127867442e-01 2.614506086990e-01
2.0700000000 6.947565032937e-01 6.482227851149e-01 2.605481784399e-01
2.0800000000 7.012517434470e-01 6.508237326445e-01 2.596404476651e-01
2.0900000000 7.077729476012e-01 6.534155765449e-01 2.587274599321e-01
2.1000000000 7.143200244580e-01 6.559982644677e-01 2.578092596302e-01
2.1100000000 7.208928821976e-01 6.585717445128e-01 2.568858919746e-01
2.1200000000 7.274914284838e-01 6.611359652360e-01 2.559574030009e-01
2.1300000000 7.341155704680e-01 6.636908756578e-01 2.550238395589e-01
2.1400000000 7.407652147943e-01 6.662364252710e-01 2.540852493062e-01
2.1500000000 7.474402676040e-01 6.687725640493e-01 2.531416807021e-01
2.1600000000 7.541406345407e-01 6.712992424546e-01 2.521931830004e-01
2.1700000000 7.608662207550e-01 6.738164114456e-01 2.512398062428e-01
2.1800000000 7.676169309097e-01 6.763240224852e-01 2.502816012518e-01
2.1900000000 7.743926691848e-01 6.788220275484e-01 2.493186196235e-01
2.2000000000 7.811933392824e-01 6.813103791299e-01 2.483509137194e-01
2.2100000000 7.880188444325e-01 6.837890302521e-01 2.473785366597e-01
2.2200000000 7.948690873978e-01 6.862579344720e-01 2.464015423145e-01
2.2300000000 8.017439704792e-01 6.887170458893e-01 2.454199852959e-01
2.2400000000 8.086433955217e-01 6.911663191534e-01 2.444339209501e-01
2.2500000000 8.155672639191e-01 6.936057094707e-01 2.434434053482e-01
2.2600000000 8.225154766205e-01 6.960351726120e-01 2.424484952777e-01
2.2700000000 8.294879341353e-01 6.984546649195e-01 2.414492482338e-01
2.2800000000 8.364845365392e-01 7.008641433139e-01 2.404457224099e-01
2.2900000000 8.435051834802e-01 7.032635653012e-01 2.394379766885e-01
2.3000000000 8.505497741841e-01 7.056528889797e-01 2.384260706316e-01
2.3100000000 8.576182074610e-01 7.080320730467e-01 2.374100644711e-01
2.3200000000 8.647103817107e-01 7.104010768050e-01 2.363900190986e-01
2.3300000000 8.718261949291e-01 7.127598601696e-01 2.353659960558e-01
2.3400000000 8.789655447145e-01 7.151083836743e-01 2.343380575237e-01
2.3500000000 8.861283282736e-01 7.174466084777e-01 2.333062663126e-01
2.3600000000 8.933144424277e-01 7.197744963696e-01 2.322706858512e-01
2.3700000000 9.005237836193e-01 7.220920097772e-01 2.312313801761e-01
2.3800000000 9.077562479185e-01 7.243991117711e-01 2.301884139203e-01
2.3900000000 9.150117310291e-01 7.266957660710e-01 2.291418523028e-01
2.4000000000 9.222901282955e-01 7.289819370518e-01 2.280917611167e-01
2.4100000000 9.295913347092e-01 7.312575897491e-01 2.270382067180e-01
2.4200000000 9.369152449152e-01 7.335226898650e-01 2.259812560137e-01
2.4300000000 9.442617532191e-01 7.357772037731e-01 2.249209764507e-01
2.4400000000 9.516307535934e-01 7.380210985243e-01 2.238574360029e-01
2.4500000000 9.590221396848e-01 7.402543418517e-01 2.227907031601e-01
2.4600000000 9.664358048204e-01 7.424769021760e-01 2.217208469147e-01
2.4700000000 9.738716420153e-01 7.446887486102e-01 2.206479367505e-01
2.4800000000 9.813295439790e-01 7.468898509644e-01 2.195720426291e-01
2.4900000000 9.888094031227e-01 7.490801797509e-01 2.184932349780e-01
2.5000000000 9.963111115662e-01 7.512597061883e-01 2.174115846774e-01
2.5100000000 1.003834561145e+00 7.534284022066e-01 2.163271630475e-01
2.5200000000 1.011379643418e+00 7.555862404506e-01 2.152400418351e-01
2.5300000000 1.018946249673e+00 7.577331942851e-01 2.141502932011e-01
2.5400000000 1.026534270936e+00 7.598692377983e-01 2.130579897064e-01
2.5500000000 1.034143597977e+00 7.619943458061e-01 2.119632042990e-01
2.5600000000 1.041774121319e+00 7.641084938555e-01 2.108660103005e-01
2.5700000000 1.049425731242e+00 7.662116582289e-01 2.097664813921e-01
2.5800000000 1.057098317794e+00 7.683038159470e-01 2.086646916014e-01
2.5900000000 1.064791770798e+00 7.703849447724e-01 2.075607152880e-01
2.6000000000 1.072505979855e+00 7.724550232132e-01 2.064546271300e-01
2.6100000000 1.080240834358e+00 7.745140305254e-01 2.053465021098e-01
2.6200000000 1.087996223495e+00 7.765619467167e-01 2.042364155002e-01
2.6300000000 1.095772036258e+00 7.785987525485e-01 2.031244428497e-01
2.6400000000 1.103568161450e+00 7.806244295395e-01 2.020106599690e-01
2.6500000000 1.111384487693e+00 7.826389599672e-01 2.008951429161e-01
2.6600000000 1.119220903437e+00 7.846423268714e-01 1.997779679819e-01
2.6700000000 1.127077296965e+00 7.866345140555e-01 1.986592116762e-01
2.6800000000 1.134953556401e+00 7.886155060893e-01 1.975389507126e-01
2.6900000000 1.142849569721e+00 7.905852883105e-01 1.964172619944e-01
2.7000000000 1.150765224755e+00 7.925438468269e-01 1.952942225995e-01
2.7100000000 1.158700409201e+00 7.944911685177e-01 1.941699097661e-01
2.7200000000 1.166655010628e+00 7.964272410353e-01 1.930444008778e-01
2.7300000000 1.174628916486e+00 7.983520528067e-01 1.919177734489e-01
2.7400000000 1.182622014113e+00 8.002655930345e-01 1.907901051096e-01
2.7500000000 1.190634190742e+00 8.021678516982e-01 1.896614735910e-01
2.7600000000 1.198665333510e+00 8.040588195550e-01 1.885319567104e-01
2.7700000000 1.206715329468e+00 8.059384881407e-01 1.874016323566e-01
2.7800000000 1.214784065583e+00 8.078068497703e-01 1.862705784748e-01
2.7900000000 1.222871428751e+00 8.096638975384e-01 1.851388730515e-01
2.8000000000 1.230977305801e+00 8.115096253195e-01 1.840065941002e-01
2.8100000000 1.239101583506e+00 8.133440277686e-01 1.828738196459e-01
2.8200000000 1.247244148590e+00 8.151671003208e-01 1.817406277105e-01
2.8300000000 1.255404887734e+00 8.169788391912e-01 1.806070962980e-01
2.8400000000 1.263583687585e+00 8.187792413750e-01 1.794733033794e-01
2.8500000000 1.271780434765e+00 8.205683046468e-01 1.783393268780e-01
2.8600000000 1.279995015876e+00 8.223460275601e-01 1.772052446544e-01
2.8700000000 1.288227317512e+00 8.241124094467e-01 1.760711344920e-01
2.8800000000 1.296477226262e+00 8.258674504157e-01 1.749370740819e-01
2.8900000000 1.304744628721e+00 8.276111513527e-01 1.738031410084e-01
2.9000000000 1.313029411495e+00 8.293435139185e-01 1.726694127343e-01
