# x T_numerico T_analitico erro_percentual
0.000000000000e+00 1.000000000000e+02 1.000000000000e+02 0.000000000000e+00
6.000000000000e-03 9.936063284516e+01 9.934826386361e+01 1.663654389246e-02
1.200000000000e-02 9.874436232128e+01 9.872916962261e+01 2.060608948558e-02
1.800000000000e-02 9.815827902242e+01 9.814244546960e+01 2.164755734045e-02
2.400000000000e-02 9.760385117706e+01 9.758783380893e+01 2.206618834879e-02
3.000000000000e-02 9.708119654766e+01 9.706509114365e+01 2.234841274229e-02
3.600000000000e-02 9.659015791549e+01 9.657398796859e+01 2.259193229599e-02
4.200000000000e-02 9.613053399726e+01 9.611430866958e+01 2.281584112229e-02
4.800000000000e-02 9.570212593407e+01 9.568585142882e+01 2.302370973561e-02
5.400000000000e-02 9.530474635434e+01 9.528842813624e+01 2.321608056492e-02
6.000000000000e-02 9.493822106958e+01 9.492186430694e+01 2.339291550675e-02
6.600000000000e-02 9.460238934160e+01 9.458599900459e+01 2.355407301601e-02
7.200000000000e-02 9.429710387791e+01 9.428068477071e+01 2.369940086517e-02
7.800000000000e-02 9.402223077947e+01 9.400578756001e+01 2.382875413799e-02
8.400000000000e-02 9.377764948392e+01 9.376118668149e+01 2.394199871311e-02
9.000000000000e-02 9.356325271286e+01 9.354677474548e+01 2.403901195915e-02
9.600000000000e-02 9.337894642448e+01 9.336245761647e+01 2.411968291800e-02
1.020000000000e-01 9.322464977208e+01 9.320815437176e+01 2.418391242532e-02
1.080000000000e-01 9.310029506845e+01 9.308379726601e+01 2.423161325349e-02
1.140000000000e-01 9.300582775599e+01 9.298933170140e+01 2.426271029934e-02
1.200000000000e-01 9.294120638275e+01 9.292471620375e+01 2.427714081500e-02
